,Width,Length,Height,Orientation,Window_Ratio,Skylight_Ratio,Area,Court_Length,Court_Width,Form_Factor,Surface_Volume_Ratio,Cooling_Load,Heating_Load,Total_Load,Image,ThreeD,Shape
16,30,30,8,0,0.3,0.1,1800,8.0,8.0,1.53333333,0.38333333,45.92211024,1.06150951,46.98361975,WIDTH30_LENGTH30_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH30_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
17,30,30,8,45,0.3,0.1,1800,8.0,8.0,1.53333333,0.38333333,45.77844813,1.13919511,46.91764324,WIDTH40_LENGTH30_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH30_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
18,30,30,8,90,0.3,0.1,1800,8.0,8.0,1.53333333,0.38333333,45.92211024,1.06150951,46.98361975,WIDTH50_LENGTH30_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH30_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
19,30,30,8,135,0.3,0.1,1800,8.0,8.0,1.53333333,0.38333333,45.77900159,1.13944687,46.91844846,WIDTH60_LENGTH30_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH30_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
20,30,30,8,180,0.3,0.1,1800,8.0,8.0,1.53333333,0.38333333,45.92211024,1.06150951,46.98361975,WIDTH30_LENGTH40_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH40_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
21,30,30,8,225,0.3,0.1,1800,8.0,8.0,1.53333333,0.38333333,45.77900159,1.13944687,46.91844846,WIDTH40_LENGTH40_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH40_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
22,30,30,8,270,0.3,0.1,1800,8.0,8.0,1.53333333,0.38333333,45.92211024,1.06150951,46.98361975,WIDTH50_LENGTH40_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH40_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
23,30,30,8,315,0.3,0.1,1800,8.0,8.0,1.53333333,0.38333333,45.77844813,1.13919511,46.91764324,WIDTH60_LENGTH40_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH40_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
24,30,30,8,0,0.4,0.1,1800,8.0,8.0,1.53333333,0.38333333,46.58059145,0.88772172,47.46831316,WIDTH30_LENGTH50_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH50_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
25,30,30,8,45,0.4,0.1,1800,8.0,8.0,1.53333333,0.38333333,46.43763125,0.96801961,47.40565087,WIDTH40_LENGTH50_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH50_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
