in_WIDTH,in_LENGTH,in_HIGHT,in_ORIENTATION,in_WINDOWS_RATIO,out_AREA,out_FORM_FACTOR,out_S_V_RATIO,out_COOLING,out_HEATING,out_TOTAL
60,30,12,45,0.1,2607,1.4952,0.3738,44.1287,1.5927,45.7213
30,40,12,45,0.1,1947,1.5295,0.3824,44.1740,1.5704,45.7445
40,40,12,45,0.1,2277,1.5099,0.3775,44.1595,1.5760,45.7356
50,40,12,45,0.1,2607,1.4952,0.3738,44.1554,1.5783,45.7337
60,40,12,45,0.1,2937,1.4838,0.3710,44.1159,1.5903,45.7062
30,50,12,45,0.1,2277,1.5099,0.3775,44.1667,1.5680,45.7347
40,50,12,45,0.1,2607,1.4952,0.3738,44.1523,1.5742,45.7264
50,50,12,45,0.1,2937,1.4838,0.3710,44.1476,1.5775,45.7252
60,50,12,45,0.1,3267,1.4747,0.3687,44.1119,1.5875,45.6993
30,60,12,45,0.1,2607,1.4952,0.3738,44.1205,1.5777,45.6982
40,60,12,45,0.1,2937,1.4838,0.3710,44.1118,1.5822,45.6940
50,60,12,45,0.1,3267,1.4747,0.3687,44.1107,1.5833,45.6939
60,60,12,45,0.1,3597,1.4673,0.3668,44.0797,1.5932,45.6729
30,30,16,45,0.1,2156,1.3905,0.3476,44.2930,1.5077,45.8006
40,30,16,45,0.1,2596,1.3629,0.3407,44.2829,1.5133,45.7962
50,30,16,45,0.1,3036,1.3432,0.3358,44.2833,1.5155,45.7988
60,30,16,45,0.1,3476,1.3285,0.3321,44.2401,1.5303,45.7704
30,40,16,45,0.1,2596,1.3629,0.3407,44.2771,1.5059,45.7830
40,40,16,45,0.1,3036,1.3432,0.3358,44.2642,1.5106,45.7748
50,40,16,45,0.1,3476,1.3285,0.3321,44.2607,1.5159,45.7766
60,40,16,45,0.1,3916,1.3172,0.3293,44.2254,1.5279,45.7533
30,50,16,45,0.1,3036,1.3432,0.3358,44.2727,1.5038,45.7764
40,50,16,45,0.1,3476,1.3285,0.3321,44.2574,1.5103,45.7677
50,50,16,45,0.1,3916,1.3172,0.3293,44.2536,1.5139,45.7675
60,50,16,45,0.1,4356,1.3081,0.3270,44.2209,1.5249,45.7459
30,60,16,45,0.1,3476,1.3285,0.3321,44.2288,1.5137,45.7425
40,60,16,45,0.1,3916,1.3172,0.3293,44.2187,1.5184,45.7371
50,60,16,45,0.1,4356,1.3081,0.3270,44.2198,1.5209,45.7407
60,60,16,45,0.1,4796,1.3007,0.3252,44.1888,1.5308,45.7196
30,30,8,90,0.1,1078,1.8905,0.4726,44.1009,1.6426,45.7436
40,30,8,90,0.1,1298,1.8629,0.4657,44.0787,1.6648,45.7435
50,30,8,90,0.1,1518,1.8432,0.4608,44.0599,1.6801,45.7400
60,30,8,90,0.1,1738,1.8285,0.4571,44.0173,1.6977,45.7150
30,40,8,90,0.1,1298,1.8629,0.4657,44.0821,1.6224,45.7045
40,40,8,90,0.1,1518,1.8432,0.4608,44.0642,1.6433,45.7075
50,40,8,90,0.1,1738,1.8285,0.4571,44.0512,1.6597,45.7110
60,40,8,90,0.1,1958,1.8172,0.4543,44.0140,1.6767,45.6907
30,50,8,90,0.1,1518,1.8432,0.4608,44.0653,1.6048,45.6701
40,50,8,90,0.1,1738,1.8285,0.4571,44.0526,1.6274,45.6800
50,50,8,90,0.1,1958,1.8172,0.4543,44.0438,1.6420,45.6858
60,50,8,90,0.1,2178,1.8081,0.4520,44.0130,1.6599,45.6729
30,60,8,90,0.1,1738,1.8285,0.4571,44.0047,1.6050,45.6097
40,60,8,90,0.1,1958,1.8172,0.4543,43.9989,1.6252,45.6241
50,60,8,90,0.1,2178,1.8081,0.4520,43.9967,1.6390,45.6357
60,60,8,90,0.1,2398,1.8007,0.4502,43.9740,1.6553,45.6293
30,30,12,90,0.1,1617,1.5572,0.3893,44.3477,1.5174,45.8651
40,30,12,90,0.1,1947,1.5295,0.3824,44.3342,1.5360,45.8701
50,30,12,90,0.1,2277,1.5099,0.3775,44.3221,1.5489,45.8709
60,30,12,90,0.1,2607,1.4952,0.3738,44.2858,1.5641,45.8499
30,40,12,90,0.1,1947,1.5295,0.3824,44.3385,1.4941,45.8326
40,40,12,90,0.1,2277,1.5099,0.3775,44.3274,1.5125,45.8399
50,40,12,90,0.1,2607,1.4952,0.3738,44.3184,1.5272,45.8456
60,40,12,90,0.1,2937,1.4838,0.3710,44.2869,1.5424,45.8293
30,50,12,90,0.1,2277,1.5099,0.3775,44.3336,1.4724,45.8061
40,50,12,90,0.1,2607,1.4952,0.3738,44.3234,1.4917,45.8151
50,50,12,90,0.1,2937,1.4838,0.3710,44.3182,1.5074,45.8256
60,50,12,90,0.1,3267,1.4747,0.3687,44.2908,1.5244,45.8152
30,60,12,90,0.1,2607,1.4952,0.3738,44.2820,1.4694,45.7514
40,60,12,90,0.1,2937,1.4838,0.3710,44.2800,1.4896,45.7695
50,60,12,90,0.1,3267,1.4747,0.3687,44.2783,1.5026,45.7809
60,60,12,90,0.1,3597,1.4673,0.3668,44.2565,1.5184,45.7748
30,30,16,90,0.1,2156,1.3905,0.3476,44.4366,1.4663,45.9029
40,30,16,90,0.1,2596,1.3629,0.3407,44.4271,1.4827,45.9098
50,30,16,90,0.1,3036,1.3432,0.3358,44.4209,1.4931,45.9140
60,30,16,90,0.1,3476,1.3285,0.3321,44.3883,1.5080,45.8963
30,40,16,90,0.1,2596,1.3629,0.3407,44.4330,1.4399,45.8729
40,40,16,90,0.1,3036,1.3432,0.3358,44.4232,1.4591,45.8823
50,40,16,90,0.1,3476,1.3285,0.3321,44.4166,1.4726,45.8892
60,40,16,90,0.1,3916,1.3172,0.3293,44.3888,1.4877,45.8765
30,50,16,90,0.1,3036,1.3432,0.3358,44.4369,1.4172,45.8541
40,50,16,90,0.1,3476,1.3285,0.3321,44.4258,1.4368,45.8626
50,50,16,90,0.1,3916,1.3172,0.3293,44.4200,1.4525,45.8725
60,50,16,90,0.1,4356,1.3081,0.3270,44.3949,1.4680,45.8629
30,60,16,90,0.1,3476,1.3285,0.3321,44.3907,1.4122,45.8028
40,60,16,90,0.1,3916,1.3172,0.3293,44.3852,1.4319,45.8171
50,60,16,90,0.1,4356,1.3081,0.3270,44.3841,1.4478,45.8319
60,60,16,90,0.1,4796,1.3007,0.3252,44.3636,1.4619,45.8255
30,30,8,135,0.1,1078,1.8905,0.4726,43.9867,1.7168,45.7034
40,30,8,135,0.1,1298,1.8629,0.4657,43.9596,1.7132,45.6728
50,30,8,135,0.1,1518,1.8432,0.4608,43.9432,1.7100,45.6532
60,30,8,135,0.1,1738,1.8285,0.4571,43.9155,1.7100,45.6255
30,40,8,135,0.1,1298,1.8629,0.4657,43.9656,1.7211,45.6867
40,40,8,135,0.1,1518,1.8432,0.4608,43.9434,1.7178,45.6612
50,40,8,135,0.1,1738,1.8285,0.4571,43.9290,1.7149,45.6439
60,40,8,135,0.1,1958,1.8172,0.4543,43.9052,1.7144,45.6196
30,50,8,135,0.1,1518,1.8432,0.4608,43.9511,1.7215,45.6726
40,50,8,135,0.1,1738,1.8285,0.4571,43.9314,1.7206,45.6521
50,50,8,135,0.1,1958,1.8172,0.4543,43.9186,1.7182,45.6368
60,50,8,135,0.1,2178,1.8081,0.4520,43.8997,1.7173,45.6170
30,60,8,135,0.1,1738,1.8285,0.4571,43.8938,1.7364,45.6302
40,60,8,135,0.1,1958,1.8172,0.4543,43.8827,1.7319,45.6146
50,60,8,135,0.1,2178,1.8081,0.4520,43.8759,1.7282,45.6041
60,60,8,135,0.1,2398,1.8007,0.4502,43.8604,1.7280,45.5884
30,30,12,135,0.1,1617,1.5572,0.3893,44.2411,1.5859,45.8271
40,30,12,135,0.1,1947,1.5295,0.3824,44.2253,1.5797,45.8050
50,30,12,135,0.1,2277,1.5099,0.3775,44.2153,1.5737,45.7890
60,30,12,135,0.1,2607,1.4952,0.3738,44.1946,1.5711,45.7657
30,40,12,135,0.1,1947,1.5295,0.3824,44.2302,1.5855,45.8157
40,40,12,135,0.1,2277,1.5099,0.3775,44.2149,1.5814,45.7963
50,40,12,135,0.1,2607,1.4952,0.3738,44.2067,1.5767,45.7834
60,40,12,135,0.1,2937,1.4838,0.3710,44.1888,1.5741,45.7629
30,50,12,135,0.1,2277,1.5099,0.3775,44.2225,1.5853,45.8078
40,50,12,135,0.1,2607,1.4952,0.3738,44.2093,1.5811,45.7904
50,50,12,135,0.1,2937,1.4838,0.3710,44.2018,1.5781,45.7799
60,50,12,135,0.1,3267,1.4747,0.3687,44.1859,1.5759,45.7617
30,60,12,135,0.1,2607,1.4952,0.3738,44.1724,1.5974,45.7698
40,60,12,135,0.1,2937,1.4838,0.3710,44.1655,1.5924,45.7579
50,60,12,135,0.1,3267,1.4747,0.3687,44.1624,1.5876,45.7500
60,60,12,135,0.1,3597,1.4673,0.3668,44.1501,1.5851,45.7351
30,30,16,135,0.1,2156,1.3905,0.3476,44.3341,1.5326,45.8667
40,30,16,135,0.1,2596,1.3629,0.3407,44.3255,1.5234,45.8489
50,30,16,135,0.1,3036,1.3432,0.3358,44.3196,1.5182,45.8377
60,30,16,135,0.1,3476,1.3285,0.3321,44.3035,1.5145,45.8180
30,40,16,135,0.1,2596,1.3629,0.3407,44.3298,1.5305,45.8603
40,40,16,135,0.1,3036,1.3432,0.3358,44.3184,1.5245,45.8430
50,40,16,135,0.1,3476,1.3285,0.3321,44.3146,1.5181,45.8326
60,40,16,135,0.1,3916,1.3172,0.3293,44.2988,1.5149,45.8137
30,50,16,135,0.1,3036,1.3432,0.3358,44.3262,1.5293,45.8555
40,50,16,135,0.1,3476,1.3285,0.3321,44.3164,1.5237,45.8401
50,50,16,135,0.1,3916,1.3172,0.3293,44.3117,1.5183,45.8300
60,50,16,135,0.1,4356,1.3081,0.3270,44.2977,1.5155,45.8131
30,60,16,135,0.1,3476,1.3285,0.3321,44.2812,1.5400,45.8212
40,60,16,135,0.1,3916,1.3172,0.3293,44.2767,1.5339,45.8106
50,60,16,135,0.1,4356,1.3081,0.3270,44.2760,1.5281,45.8040
60,60,16,135,0.1,4796,1.3007,0.3252,44.2635,1.5250,45.7885
30,30,8,180,0.1,1078,1.8905,0.4726,44.0969,1.6448,45.7417
40,30,8,180,0.1,1298,1.8629,0.4657,44.0791,1.6223,45.7014
50,30,8,180,0.1,1518,1.8432,0.4608,44.0636,1.6048,45.6684
60,30,8,180,0.1,1738,1.8285,0.4571,44.0417,1.5917,45.6335
30,40,8,180,0.1,1298,1.8629,0.4657,44.0753,1.6651,45.7405
40,40,8,180,0.1,1518,1.8432,0.4608,44.0617,1.6434,45.7050
50,40,8,180,0.1,1738,1.8285,0.4571,44.0504,1.6274,45.6778
60,40,8,180,0.1,1958,1.8172,0.4543,44.0324,1.6131,45.6454
30,50,8,180,0.1,1518,1.8432,0.4608,44.0569,1.6802,45.7372
40,50,8,180,0.1,1738,1.8285,0.4571,44.0489,1.6597,45.7086
50,50,8,180,0.1,1958,1.8172,0.4543,44.0419,1.6419,45.6839
60,50,8,180,0.1,2178,1.8081,0.4520,44.0271,1.6284,45.6554
30,60,8,180,0.1,1738,1.8285,0.4571,44.0142,1.6980,45.7122
40,60,8,180,0.1,1958,1.8172,0.4543,44.0113,1.6767,45.6880
50,60,8,180,0.1,2178,1.8081,0.4520,44.0109,1.6598,45.6707
