WIDTH,LENGTH,HIGHT,ORIENTATION,WINDOWS_RATIO,SKYLIGHT_RATIO,AREA,COURT_LENGTH,COURT_WIDTH,FORM_FACTOR,S/V_RATIO,COOLING_LOAD,HEATING_LOAD,TOTAL_LOAD
40,60,16,135,0.2,0.2,9600,38,18,0.8333,0.2083,45.1795864,1.06291759,46.24250399
40,30,12,225,0.2,0.1,3600,8,18,1.1333,0.2833,45.05593015,1.18667,46.24260015
40,60,16,315,0.2,0.2,9600,38,18,0.8333,0.2083,45.18153526,1.06229246,46.24382772
40,60,16,225,0.2,0.2,9600,38,18,0.8333,0.2083,45.18910613,1.05511063,46.24421676
60,50,16,135,0.2,0.2,12000,28,38,0.7933,0.1983,45.19743112,1.04802126,46.24545239
40,40,16,90,0.2,0.1,6400,18,18,0.9,0.225,45.19630911,1.04965678,46.24596589
40,40,16,270,0.2,0.1,6400,18,18,0.9,0.225,45.19630911,1.04965678,46.24596589
60,50,16,315,0.2,0.2,12000,28,38,0.7933,0.1983,45.19887,1.04768136,46.24655136
40,40,16,0,0.2,0.1,6400,18,18,0.9,0.225,45.19639755,1.05039336,46.24679091
40,40,16,180,0.2,0.1,6400,18,18,0.9,0.225,45.19639755,1.05039336,46.24679091
50,60,16,315,0.2,0.2,12000,38,28,0.7933,0.1983,45.19762278,1.0494719,46.24709468
30,30,8,45,0.1,0.3,1800,8,8,1.5333,0.3833,44.68969107,1.55851848,46.24820956
30,50,16,90,0.2,0.1,6000,28,8,0.9267,0.2317,45.24095903,1.00778619,46.24874522
30,50,16,270,0.2,0.1,6000,28,8,0.9267,0.2317,45.24095903,1.00778619,46.24874522
60,40,16,45,0.2,0.2,9600,18,38,0.8333,0.2083,45.18840796,1.06043826,46.24884622
60,40,16,225,0.2,0.2,9600,18,38,0.8333,0.2083,45.18840796,1.06043826,46.24884622
50,30,16,0,0.2,0.1,6000,8,28,0.9267,0.2317,45.24120559,1.00774571,46.2489513
50,30,16,180,0.2,0.1,6000,8,28,0.9267,0.2317,45.24120559,1.00774571,46.2489513
60,50,16,45,0.2,0.2,12000,28,38,0.7933,0.1983,45.20055971,1.04903209,46.2495918
50,60,16,135,0.2,0.2,12000,38,28,0.7933,0.1983,45.20288078,1.0474754,46.25035618
60,50,16,225,0.2,0.2,12000,28,38,0.7933,0.1983,45.20396975,1.04780796,46.25177772
30,30,8,135,0.1,0.3,1800,8,8,1.5333,0.3833,44.70137887,1.55512009,46.25649895
30,30,8,225,0.1,0.3,1800,8,8,1.5333,0.3833,44.70137887,1.55512009,46.25649895
30,30,8,315,0.1,0.3,1800,8,8,1.5333,0.3833,44.70137887,1.55512009,46.25649895
30,60,16,90,0.2,0.2,7200,38,8,0.9,0.225,45.29003235,0.97315114,46.2631835
30,60,16,270,0.2,0.2,7200,38,8,0.9,0.225,45.29003235,0.97315114,46.2631835
60,30,16,0,0.2,0.2,7200,8,38,0.9,0.225,45.29168755,0.97247755,46.2641651
60,30,16,180,0.2,0.2,7200,8,38,0.9,0.225,45.29168755,0.97247755,46.2641651
30,60,12,90,0.2,0.2,5400,38,8,1.0667,0.2667,45.23062112,1.03440795,46.26502907
30,60,12,270,0.2,0.2,5400,38,8,1.0667,0.2667,45.23062112,1.03440795,46.26502907
60,30,12,0,0.2,0.2,5400,8,38,1.0667,0.2667,45.23284795,1.03351026,46.26635821
60,30,12,180,0.2,0.2,5400,8,38,1.0667,0.2667,45.23284795,1.03351026,46.26635821
60,60,16,90,0.2,0.2,14400,38,38,0.7667,0.1917,45.27089768,1.002536,46.27343367
60,60,16,270,0.2,0.2,14400,38,38,0.7667,0.1917,45.27089768,1.002536,46.27343367
60,60,16,0,0.2,0.2,14400,38,38,0.7667,0.1917,45.27041965,1.00314469,46.27356434
60,60,16,180,0.2,0.2,14400,38,38,0.7667,0.1917,45.27041965,1.00314469,46.27356434
50,50,16,225,0.2,0.2,10000,28,28,0.82,0.205,45.23172786,1.04779422,46.27952208
50,50,16,135,0.2,0.2,10000,28,28,0.82,0.205,45.23197326,1.04802089,46.27999415
50,30,16,90,0.2,0.1,6000,8,28,0.9267,0.2317,45.20515813,1.07677576,46.28193389
50,30,16,270,0.2,0.1,6000,8,28,0.9267,0.2317,45.20515813,1.07677576,46.28193389
30,50,16,0,0.2,0.1,6000,28,8,0.9267,0.2317,45.20514873,1.07709389,46.28224262
30,50,16,180,0.2,0.1,6000,28,8,0.9267,0.2317,45.20514873,1.07709389,46.28224262
60,40,16,0,0.2,0.2,9600,18,38,0.8333,0.2083,45.29802235,0.9844023,46.28242465
60,40,16,180,0.2,0.2,9600,18,38,0.8333,0.2083,45.29802235,0.9844023,46.28242465
40,60,16,90,0.2,0.2,9600,38,18,0.8333,0.2083,45.3000051,0.98384053,46.28384564
40,60,16,270,0.2,0.2,9600,38,18,0.8333,0.2083,45.3000051,0.98384053,46.28384564
50,50,16,315,0.2,0.2,10000,28,28,0.82,0.205,45.23850131,1.04645824,46.28495955
30,40,16,45,0.2,0.1,4800,18,8,0.9667,0.2417,45.17995117,1.10802079,46.28797196
40,30,16,315,0.2,0.1,4800,8,18,0.9667,0.2417,45.18014538,1.10787258,46.28801796
40,30,16,135,0.2,0.1,4800,8,18,0.9667,0.2417,45.17968084,1.10845286,46.28813369
30,40,16,225,0.2,0.1,4800,18,8,0.9667,0.2417,45.18017352,1.10826545,46.28843897
50,50,16,45,0.2,0.2,10000,28,28,0.82,0.205,45.24489038,1.04505332,46.2899437
40,50,16,225,0.2,0.2,8000,28,18,0.86,0.215,45.23741837,1.05313306,46.29055143
40,50,16,45,0.2,0.2,8000,28,18,0.86,0.215,45.23757255,1.05320522,46.29077778
40,30,16,45,0.2,0.1,4800,8,18,0.9667,0.2417,45.17853871,1.11236546,46.29090417
50,60,16,90,0.2,0.2,12000,38,28,0.7933,0.1983,45.29922976,0.99175992,46.29098968
50,60,16,270,0.2,0.2,12000,38,28,0.7933,0.1983,45.29922976,0.99175992,46.29098968
60,50,16,0,0.2,0.2,12000,28,38,0.7933,0.1983,45.29782122,0.99339623,46.29121746
60,50,16,180,0.2,0.2,12000,28,38,0.7933,0.1983,45.29782122,0.99339623,46.29121746
30,40,16,315,0.2,0.1,4800,18,8,0.9667,0.2417,45.17882635,1.11250769,46.29133404
30,40,16,135,0.2,0.1,4800,18,8,0.9667,0.2417,45.17960066,1.11217041,46.29177107
40,30,16,225,0.2,0.1,4800,8,18,0.9667,0.2417,45.18003482,1.11200511,46.29203993
50,40,16,135,0.2,0.2,8000,18,28,0.86,0.215,45.24197576,1.05202888,46.29400464
50,40,16,315,0.2,0.2,8000,18,28,0.86,0.215,45.24197576,1.05202888,46.29400464
30,40,12,90,0.2,0.1,3600,18,8,1.1333,0.2833,45.19781857,1.09804599,46.29586457
30,40,12,270,0.2,0.1,3600,18,8,1.1333,0.2833,45.19781857,1.09804599,46.29586457
40,30,12,0,0.2,0.1,3600,8,18,1.1333,0.2833,45.1980489,1.0980489,46.2960978
40,30,12,180,0.2,0.1,3600,8,18,1.1333,0.2833,45.1980489,1.0980489,46.2960978
50,30,12,135,0.2,0.2,4500,8,28,1.0933,0.2733,45.16631713,1.13077931,46.29709644
40,50,16,315,0.2,0.2,8000,28,18,0.86,0.215,45.24334002,1.05450003,46.29784005
30,30,8,0,0.2,0.1,1800,8,8,1.5333,0.3833,45.01691194,1.28151524,46.29842718
30,30,8,90,0.2,0.1,1800,8,8,1.5333,0.3833,45.01691194,1.28151524,46.29842718
30,30,8,180,0.2,0.1,1800,8,8,1.5333,0.3833,45.01691194,1.28151524,46.29842718
30,30,8,270,0.2,0.1,1800,8,8,1.5333,0.3833,45.01691194,1.28151524,46.29842718
40,50,16,135,0.2,0.2,8000,28,18,0.86,0.215,45.24252035,1.05753262,46.30005297
50,60,16,0,0.2,0.2,12000,38,28,0.7933,0.1983,45.29253236,1.00854042,46.30107278
50,60,16,180,0.2,0.2,12000,38,28,0.7933,0.1983,45.29253236,1.00854042,46.30107278
60,50,16,90,0.2,0.2,12000,28,38,0.7933,0.1983,45.29251781,1.00869164,46.30120944
60,50,16,270,0.2,0.2,12000,28,38,0.7933,0.1983,45.29251781,1.00869164,46.30120944
60,30,16,135,0.2,0.3,7200,8,38,0.9,0.225,45.26196966,1.04037495,46.30234461
30,60,16,0,0.2,0.2,7200,38,8,0.9,0.225,45.24656261,1.05597826,46.30254086
30,60,16,180,0.2,0.2,7200,38,8,0.9,0.225,45.24656261,1.05597826,46.30254086
50,40,16,45,0.2,0.2,8000,18,28,0.86,0.215,45.24941155,1.05316776,46.30257931
50,40,16,225,0.2,0.2,8000,18,28,0.86,0.215,45.24941155,1.05316776,46.30257931
30,50,12,45,0.2,0.2,4500,28,8,1.0933,0.2733,45.17383135,1.12908832,46.30291967
60,30,16,90,0.2,0.2,7200,8,38,0.9,0.225,45.24830779,1.05497953,46.30328731
60,30,16,270,0.2,0.2,7200,8,38,0.9,0.225,45.24830779,1.05497953,46.30328731
50,30,16,135,0.2,0.2,6000,8,28,0.9267,0.2317,45.23510869,1.06835758,46.30346627
30,60,16,225,0.2,0.3,7200,38,8,0.9,0.225,45.26392179,1.03974424,46.30366603
30,50,12,225,0.2,0.2,4500,28,8,1.0933,0.2733,45.1753306,1.12865544,46.30398604
50,30,12,315,0.2,0.2,4500,8,28,1.0933,0.2733,45.17711498,1.12814498,46.30525996
40,30,16,45,0.1,0.4,4800,8,18,0.9667,0.2417,45.01179219,1.2941165,46.30590869
60,40,16,90,0.2,0.2,9600,18,38,0.8333,0.2083,45.28037259,1.02595544,46.30632803
60,40,16,270,0.2,0.2,9600,18,38,0.8333,0.2083,45.28037259,1.02595544,46.30632803
40,30,16,135,0.1,0.4,4800,8,18,0.9667,0.2417,45.01891083,1.28767701,46.30658784
40,60,16,0,0.2,0.2,9600,38,18,0.8333,0.2083,45.28047238,1.02638604,46.30685842
40,60,16,180,0.2,0.2,9600,38,18,0.8333,0.2083,45.28047238,1.02638604,46.30685842
30,50,16,45,0.2,0.2,6000,28,8,0.9267,0.2317,45.23986374,1.06705671,46.30692046
30,60,12,0,0.2,0.2,5400,38,8,1.0667,0.2667,45.19194076,1.11509307,46.30703383
30,60,12,180,0.2,0.2,5400,38,8,1.0667,0.2667,45.19194076,1.11509307,46.30703383
30,50,16,225,0.2,0.2,6000,28,8,0.9267,0.2317,45.2408627,1.06674175,46.30760445
30,60,16,315,0.2,0.3,7200,38,8,0.9,0.225,45.25556529,1.05256897,46.30813426
60,30,12,90,0.2,0.2,5400,8,38,1.0667,0.2667,45.19438253,1.1137779,46.30816043
60,30,12,270,0.2,0.2,5400,8,38,1.0667,0.2667,45.19438253,1.1137779,46.30816043
60,30,16,315,0.2,0.3,7200,8,38,0.9,0.225,45.27118385,1.03697754,46.30816139
50,30,16,315,0.2,0.2,6000,8,28,0.9267,0.2317,45.24244052,1.06576012,46.30820064
30,50,12,135,0.2,0.2,4500,28,8,1.0933,0.2733,45.17057619,1.138208,46.30878418
60,30,16,45,0.2,0.3,7200,8,38,0.9,0.225,45.2587727,1.05072152,46.30949422
60,30,16,225,0.2,0.3,7200,8,38,0.9,0.225,45.2587727,1.05072152,46.30949422
30,40,16,45,0.1,0.4,4800,18,8,0.9667,0.2417,45.02957729,1.28048649,46.31006378
30,40,16,225,0.1,0.4,4800,18,8,0.9667,0.2417,45.03026481,1.28080685,46.31107166
60,40,12,135,0.2,0.2,7200,18,38,1,0.25,45.20941075,1.10200402,46.31141477
30,50,12,315,0.2,0.2,4500,28,8,1.0933,0.2733,45.17525846,1.13667189,46.31193035
30,50,16,135,0.2,0.2,6000,28,8,0.9267,0.2317,45.23688173,1.07516688,46.31204861
30,30,8,0,0.1,0.3,1800,8,8,1.5333,0.3833,44.82299024,1.49079611,46.31378635
30,30,8,90,0.1,0.3,1800,8,8,1.5333,0.3833,44.82299024,1.49079611,46.31378635
30,30,8,180,0.1,0.3,1800,8,8,1.5333,0.3833,44.82299024,1.49079611,46.31378635
30,30,8,270,0.1,0.3,1800,8,8,1.5333,0.3833,44.82299024,1.49079611,46.31378635
30,50,16,315,0.2,0.2,6000,28,8,0.9267,0.2317,45.24010811,1.07394105,46.31404916
40,30,12,90,0.2,0.1,3600,8,18,1.1333,0.2833,45.1767467,1.13839574,46.31514245
40,30,12,270,0.2,0.1,3600,8,18,1.1333,0.2833,45.1767467,1.13839574,46.31514245
30,40,12,0,0.2,0.1,3600,18,8,1.1333,0.2833,45.17656763,1.13893207,46.3154997
30,40,12,180,0.2,0.1,3600,18,8,1.1333,0.2833,45.17656763,1.13893207,46.3154997
60,40,12,315,0.2,0.2,7200,18,38,1,0.25,45.21691406,1.09867852,46.31559258
50,30,12,45,0.2,0.2,4500,8,28,1.0933,0.2733,45.18106954,1.13479259,46.31586213
50,30,12,225,0.2,0.2,4500,8,28,1.0933,0.2733,45.18106954,1.13479259,46.31586213
40,60,12,45,0.2,0.2,7200,38,18,1,0.25,45.21753023,1.0991306,46.31666084
40,30,16,315,0.1,0.4,4800,8,18,0.9667,0.2417,45.03945456,1.27729428,46.31674884
50,30,16,45,0.2,0.2,6000,8,28,0.9267,0.2317,45.2444092,1.07250826,46.31691746
50,30,16,225,0.2,0.2,6000,8,28,0.9267,0.2317,45.2444092,1.07250826,46.31691746
40,60,12,135,0.2,0.2,7200,38,18,1,0.25,45.21334136,1.10555803,46.31889939
40,60,12,315,0.2,0.2,7200,38,18,1,0.25,45.21555,1.10383164,46.31938164
40,60,12,225,0.2,0.2,7200,38,18,1,0.25,45.22385878,1.09664216,46.32050094
30,40,16,135,0.1,0.4,4800,18,8,0.9667,0.2417,45.04135542,1.28242097,46.32377639
30,40,16,315,0.1,0.4,4800,18,8,0.9667,0.2417,45.04135542,1.28242097,46.32377639
40,30,16,225,0.1,0.4,4800,8,18,0.9667,0.2417,45.03941595,1.28552646,46.32494241
60,40,12,45,0.2,0.2,7200,18,38,1,0.25,45.22471235,1.10281693,46.32752928
60,40,12,225,0.2,0.2,7200,18,38,1,0.25,45.22471235,1.10281693,46.32752928
40,40,16,45,0.2,0.2,6400,18,18,0.9,0.225,45.26716085,1.06320574,46.33036659
40,40,16,135,0.2,0.2,6400,18,18,0.9,0.225,45.26594385,1.06464602,46.33058986
40,40,16,315,0.2,0.2,6400,18,18,0.9,0.225,45.26594385,1.06464602,46.33058986
40,40,16,225,0.2,0.2,6400,18,18,0.9,0.225,45.26965562,1.06233094,46.33198656
30,30,8,45,0.1,0.4,1800,8,8,1.5333,0.3833,44.80039467,1.53162986,46.33202453
30,30,8,135,0.1,0.4,1800,8,8,1.5333,0.3833,44.80039467,1.53162986,46.33202453
50,50,16,0,0.2,0.2,10000,28,28,0.82,0.205,45.34081604,0.9943391,46.33515514
50,50,16,180,0.2,0.2,10000,28,28,0.82,0.205,45.34081604,0.9943391,46.33515514
50,50,16,90,0.2,0.2,10000,28,28,0.82,0.205,45.3415905,0.99417356,46.33576406
50,50,16,270,0.2,0.2,10000,28,28,0.82,0.205,45.3415905,0.99417356,46.33576406
40,50,12,225,0.2,0.2,6000,28,18,1.0267,0.2567,45.24269897,1.10184805,46.34454702
40,50,12,45,0.2,0.2,6000,28,18,1.0267,0.2567,45.24291339,1.10194462,46.344858
50,40,16,0,0.2,0.2,8000,18,28,0.86,0.215,45.36220627,0.98439349,46.34659976
50,40,16,180,0.2,0.2,8000,18,28,0.86,0.215,45.36220627,0.98439349,46.34659976
40,50,16,90,0.2,0.2,8000,28,18,0.86,0.215,45.36373442,0.98321889,46.3469533
40,50,16,270,0.2,0.2,8000,28,18,0.86,0.215,45.36373442,0.98321889,46.3469533
30,30,8,225,0.1,0.4,1800,8,8,1.5333,0.3833,44.82284706,1.52523828,46.34808534
30,30,8,315,0.1,0.4,1800,8,8,1.5333,0.3833,44.82284706,1.52523828,46.34808534
30,40,16,90,0.2,0.1,4800,18,8,0.9667,0.2417,45.32495711,1.02349022,46.34844732
30,40,16,270,0.2,0.1,4800,18,8,0.9667,0.2417,45.32495711,1.02349022,46.34844732
40,30,16,0,0.2,0.1,4800,8,18,0.9667,0.2417,45.32511512,1.02349374,46.34860886
40,30,16,180,0.2,0.1,4800,8,18,0.9667,0.2417,45.32511512,1.02349374,46.34860886
50,40,12,135,0.2,0.2,6000,18,28,1.0267,0.2567,45.24929679,1.10035158,46.34964837
50,40,12,315,0.2,0.2,6000,18,28,1.0267,0.2567,45.24929679,1.10035158,46.34964837
30,40,12,225,0.2,0.2,3600,18,8,1.1333,0.2833,45.20653,1.14591777,46.35244777
30,50,12,90,0.2,0.2,4500,28,8,1.0933,0.2733,45.31702381,1.03555724,46.35258104
30,50,12,270,0.2,0.2,4500,28,8,1.0933,0.2733,45.31702381,1.03555724,46.35258104
30,40,12,45,0.2,0.2,3600,18,8,1.1333,0.2833,45.20722263,1.14547652,46.35269915
40,30,12,135,0.2,0.2,3600,8,18,1.1333,0.2833,45.20520527,1.14753395,46.35273922
40,30,12,315,0.2,0.2,3600,8,18,1.1333,0.2833,45.20520527,1.14753395,46.35273922
50,30,12,0,0.2,0.2,4500,8,28,1.0933,0.2733,45.31730665,1.03549026,46.35279691
50,30,12,180,0.2,0.2,4500,8,28,1.0933,0.2733,45.31730665,1.03549026,46.35279691
40,30,12,45,0.2,0.2,3600,8,18,1.1333,0.2833,45.20259799,1.15117018,46.35376817
40,50,12,315,0.2,0.2,6000,28,18,1.0267,0.2567,45.25152794,1.10268868,46.35421662
30,60,16,90,0.2,0.3,7200,38,8,0.9,0.225,45.41074228,0.94395889,46.35470118
30,60,16,270,0.2,0.3,7200,38,8,0.9,0.225,45.41074228,0.94395889,46.35470118
60,30,16,0,0.2,0.3,7200,8,38,0.9,0.225,45.41259971,0.94297404,46.35557375
60,30,16,180,0.2,0.3,7200,8,38,0.9,0.225,45.41259971,0.94297404,46.35557375
40,50,12,135,0.2,0.2,6000,28,18,1.0267,0.2567,45.251812,1.10505893,46.35687094
40,40,12,135,0.2,0.2,4800,18,18,1.0667,0.2667,45.2373831,1.11975312,46.35713621
40,40,12,315,0.2,0.2,4800,18,18,1.0667,0.2667,45.2373831,1.11975312,46.35713621
30,40,12,315,0.2,0.2,3600,18,8,1.1333,0.2833,45.20644758,1.15087024,46.35731783
30,40,12,135,0.2,0.2,3600,18,8,1.1333,0.2833,45.20553527,1.15180519,46.35734046
40,40,12,45,0.2,0.2,4800,18,18,1.0667,0.2667,45.23977883,1.11782791,46.35760674
50,40,16,90,0.2,0.2,8000,18,28,0.86,0.215,45.34716534,1.01100802,46.35817335
50,40,16,270,0.2,0.2,8000,18,28,0.86,0.215,45.34716534,1.01100802,46.35817335
60,40,12,0,0.2,0.2,7200,18,38,1,0.25,45.33088138,1.02732824,46.35820962
60,40,12,180,0.2,0.2,7200,18,38,1,0.25,45.33088138,1.02732824,46.35820962
40,50,16,0,0.2,0.2,8000,28,18,0.86,0.215,45.34692082,1.01165296,46.35857378
40,50,16,180,0.2,0.2,8000,28,18,0.86,0.215,45.34692082,1.01165296,46.35857378
40,40,12,225,0.2,0.2,4800,18,18,1.0667,0.2667,45.24319663,1.11665835,46.35985499
30,50,16,90,0.2,0.2,6000,28,8,0.9267,0.2317,45.38686961,0.97303697,46.35990658
30,50,16,270,0.2,0.2,6000,28,8,0.9267,0.2317,45.38686961,0.97303697,46.35990658
50,30,16,0,0.2,0.2,6000,8,28,0.9267,0.2317,45.38708633,0.97298796,46.36007429
50,30,16,180,0.2,0.2,6000,8,28,0.9267,0.2317,45.38708633,0.97298796,46.36007429
40,60,12,90,0.2,0.2,7200,38,18,1,0.25,45.33317652,1.02709617,46.36027269
40,60,12,270,0.2,0.2,7200,38,18,1,0.25,45.33317652,1.02709617,46.36027269
50,60,12,45,0.2,0.2,9000,38,28,0.96,0.24,45.27513262,1.08515963,46.36029225
40,30,12,225,0.2,0.2,3600,8,18,1.1333,0.2833,45.21223315,1.1485188,46.36075195
50,40,12,45,0.2,0.2,6000,18,28,1.0267,0.2567,45.2593795,1.10151261,46.3608921
50,40,12,225,0.2,0.2,6000,18,28,1.0267,0.2567,45.2593795,1.10151261,46.3608921
30,30,12,45,0.2,0.1,2700,8,8,1.2,0.3,45.16627475,1.19542437,46.36169912
30,30,12,315,0.2,0.1,2700,8,8,1.2,0.3,45.16627475,1.19542437,46.36169912
30,30,12,135,0.2,0.1,2700,8,8,1.2,0.3,45.16628673,1.19567928,46.36196601
30,30,12,225,0.2,0.1,2700,8,8,1.2,0.3,45.16628673,1.19567928,46.36196601
50,60,12,225,0.2,0.2,9000,38,28,0.96,0.24,45.27856702,1.08355072,46.36211775
30,40,16,90,0.1,0.4,4800,18,8,0.9667,0.2417,45.15822789,1.206613,46.36484089
30,40,16,270,0.1,0.4,4800,18,8,0.9667,0.2417,45.15822789,1.206613,46.36484089
40,30,16,0,0.1,0.4,4800,8,18,0.9667,0.2417,45.15824111,1.20662402,46.36486513
40,30,16,180,0.1,0.4,4800,8,18,0.9667,0.2417,45.15824111,1.20662402,46.36486513
60,60,16,315,0.3,0.1,14400,38,38,0.7667,0.1917,45.35794519,1.00845587,46.36640105
60,60,16,135,0.3,0.1,14400,38,38,0.7667,0.1917,45.35834698,1.00827793,46.36662491
40,30,16,90,0.2,0.1,4800,8,18,0.9667,0.2417,45.30207416,1.06488919,46.36696335
40,30,16,270,0.2,0.1,4800,8,18,0.9667,0.2417,45.30207416,1.06488919,46.36696335
30,40,16,0,0.2,0.1,4800,18,8,0.9667,0.2417,45.30193708,1.06525077,46.36718785
30,40,16,180,0.2,0.1,4800,18,8,0.9667,0.2417,45.30193708,1.06525077,46.36718785
60,60,16,225,0.3,0.1,14400,38,38,0.7667,0.1917,45.35917557,1.00808565,46.36726122
60,60,16,45,0.3,0.1,14400,38,38,0.7667,0.1917,45.36030288,1.00759515,46.36789804
60,50,12,135,0.2,0.2,9000,28,38,0.96,0.24,45.28748138,1.08095128,46.36843266
60,40,16,315,0.2,0.3,9600,18,38,0.8333,0.2083,45.37089223,0.99938528,46.3702775
60,50,12,315,0.2,0.2,9000,28,38,0.96,0.24,45.29006749,1.08044183,46.37050932
50,60,12,315,0.2,0.2,9000,38,28,0.96,0.24,45.28871284,1.08230124,46.37101408
40,60,16,45,0.2,0.3,9600,38,18,0.8333,0.2083,45.37143524,0.99987315,46.37130839
40,60,16,225,0.2,0.3,9600,38,18,0.8333,0.2083,45.37143524,0.99987315,46.37130839
30,40,16,225,0.2,0.2,4800,18,8,0.9667,0.2417,45.29156284,1.0801481,46.37171094
40,30,16,135,0.2,0.2,4800,8,18,0.9667,0.2417,45.290683,1.08106111,46.37174411
40,30,16,315,0.2,0.2,4800,8,18,0.9667,0.2417,45.290683,1.08106111,46.37174411
30,40,16,45,0.2,0.2,4800,18,8,0.9667,0.2417,45.29207782,1.07980751,46.37188532
40,60,16,315,0.2,0.3,9600,38,18,0.8333,0.2083,45.36288796,1.00922895,46.37211691
50,50,12,225,0.2,0.2,7500,28,28,0.9867,0.2467,45.28479956,1.08757977,46.37237934
50,50,12,135,0.2,0.2,7500,28,28,0.9867,0.2467,45.285622,1.08727757,46.37289957
60,50,12,45,0.2,0.2,9000,28,38,0.96,0.24,45.29208372,1.08162882,46.37371254
40,30,16,45,0.2,0.2,4800,8,18,0.9667,0.2417,45.28844508,1.08587616,46.37432125
50,60,12,135,0.2,0.2,9000,38,28,0.96,0.24,45.29529503,1.07979222,46.37508724
30,40,16,135,0.2,0.2,4800,18,8,0.9667,0.2417,45.29071914,1.08589949,46.37661862
60,50,12,225,0.2,0.2,9000,28,38,0.96,0.24,45.2966852,1.08002941,46.37671461
30,40,16,315,0.2,0.2,4800,18,8,0.9667,0.2417,45.29117599,1.08564186,46.37681785
50,30,16,135,0.2,0.3,6000,8,28,0.9267,0.2317,45.33584329,1.04129884,46.37714213
60,40,16,45,0.2,0.3,9600,18,38,0.8333,0.2083,45.37189594,1.00545951,46.37735546
60,40,16,225,0.2,0.3,9600,18,38,0.8333,0.2083,45.37189594,1.00545951,46.37735546
60,60,12,135,0.2,0.2,10800,38,38,0.9333,0.2333,45.30069525,1.07743724,46.37813249
50,50,12,315,0.2,0.2,7500,28,28,0.9867,0.2467,45.29338336,1.08533313,46.37871649
40,30,16,225,0.2,0.2,4800,8,18,0.9667,0.2417,45.29542705,1.08385534,46.37928238
60,60,12,225,0.2,0.2,10800,38,38,0.9333,0.2333,45.30238532,1.0771968,46.37958212
30,50,16,45,0.2,0.3,6000,28,8,0.9267,0.2317,45.34153998,1.03932225,46.38086223
50,30,16,225,0.2,0.3,6000,8,28,0.9267,0.2317,45.33023103,1.05077628,46.38100731
60,40,12,90,0.2,0.2,7200,18,38,1,0.25,45.31341339,1.06806472,46.38147811
60,40,12,270,0.2,0.2,7200,18,38,1,0.25,45.31341339,1.06806472,46.38147811
30,50,12,0,0.2,0.2,4500,28,8,1.0933,0.2733,45.27949671,1.10226103,46.38175774
30,50,12,180,0.2,0.2,4500,28,8,1.0933,0.2733,45.27949671,1.10226103,46.38175774
50,30,12,90,0.2,0.2,4500,8,28,1.0933,0.2733,45.28024317,1.10162604,46.38186921
50,30,12,270,0.2,0.2,4500,8,28,1.0933,0.2733,45.28024317,1.10162604,46.38186921
40,60,12,0,0.2,0.2,7200,38,18,1,0.25,45.31416144,1.06798192,46.38214336
40,60,12,180,0.2,0.2,7200,38,18,1,0.25,45.31416144,1.06798192,46.38214336
60,60,12,315,0.2,0.2,10800,38,38,0.9333,0.2333,45.30518335,1.07765993,46.38284328
30,50,16,225,0.2,0.3,6000,28,8,0.9267,0.2317,45.34526778,1.03812266,46.38339043
30,50,16,135,0.2,0.3,6000,28,8,0.9267,0.2317,45.33582384,1.04852853,46.38435237
50,30,16,315,0.2,0.3,6000,8,28,0.9267,0.2317,45.34809063,1.0364878,46.38457843
50,50,12,45,0.2,0.2,7500,28,28,0.9867,0.2467,45.30267672,1.08212578,46.3848025
30,60,16,0,0.2,0.3,7200,38,8,0.9,0.225,45.36365313,1.02431187,46.387965
30,60,16,180,0.2,0.3,7200,38,8,0.9,0.225,45.36365313,1.02431187,46.387965
30,50,16,0,0.2,0.2,6000,28,8,0.9267,0.2317,45.34693789,1.04111013,46.38804802
30,50,16,180,0.2,0.2,6000,28,8,0.9267,0.2317,45.34693789,1.04111013,46.38804802
50,30,16,90,0.2,0.2,6000,8,28,0.9267,0.2317,45.34749787,1.04062931,46.38812717
50,30,16,270,0.2,0.2,6000,8,28,0.9267,0.2317,45.34749787,1.04062931,46.38812717
60,60,12,45,0.2,0.2,10800,38,38,0.9333,0.2333,45.31580349,1.07284336,46.38864685
60,30,16,90,0.2,0.3,7200,8,38,0.9,0.225,45.36580934,1.02306724,46.38887657
60,30,16,270,0.2,0.3,7200,8,38,0.9,0.225,45.36580934,1.02306724,46.38887657
30,50,16,315,0.2,0.3,6000,28,8,0.9267,0.2317,45.34281311,1.04662606,46.38943917
40,40,16,0,0.2,0.2,6400,18,18,0.9,0.225,45.38505493,1.00451383,46.38956876
40,40,16,180,0.2,0.2,6400,18,18,0.9,0.225,45.38505493,1.00451383,46.38956876
40,40,16,90,0.2,0.2,6400,18,18,0.9,0.225,45.38659643,1.00362408,46.39022051
40,40,16,270,0.2,0.2,6400,18,18,0.9,0.225,45.38659643,1.00362408,46.39022051
40,30,16,90,0.1,0.4,4800,8,18,0.9667,0.2417,45.1520201,1.2392503,46.39127041
40,30,16,270,0.1,0.4,4800,8,18,0.9667,0.2417,45.1520201,1.2392503,46.39127041
30,40,16,0,0.1,0.4,4800,18,8,0.9667,0.2417,45.1516507,1.23977585,46.39142655
30,40,16,180,0.1,0.4,4800,18,8,0.9667,0.2417,45.1516507,1.23977585,46.39142655
50,30,16,45,0.2,0.3,6000,8,28,0.9267,0.2317,45.3518202,1.04405866,46.39587886
