Width,Length,Height,Orientation,Window_Ratio,Skylight_Ratio,Area,Form_Factor,Cooling_Load,Heating_Load,Shape_Box,Shape_L,Shape_O,Shape_U
30,30,8,0,0.1,0.1,30.462296687425056,1.53333333,43.77453966,1.55941903,1,0,0,0
30,30,8,45,0.1,0.1,30.462296687425056,1.53333333,43.64772362,1.624867,1,0,0,0
30,30,8,90,0.1,0.1,30.462296687425056,1.53333333,43.77453966,1.55941903,1,0,0,0
30,30,8,135,0.1,0.1,30.462296687425056,1.53333333,43.64762731,1.6252491,1,0,0,0
30,30,8,180,0.1,0.1,30.462296687425056,1.53333333,43.77453966,1.55941903,1,0,0,0
30,30,8,225,0.1,0.1,30.462296687425056,1.53333333,43.64762731,1.6252491,1,0,0,0
30,30,8,270,0.1,0.1,30.462296687425056,1.53333333,43.77453966,1.55941903,1,0,0,0
30,30,8,315,0.1,0.1,30.462296687425056,1.53333333,43.64772362,1.624867,1,0,0,0
30,30,8,0,0.2,0.1,30.462296687425056,1.53333333,45.01691194,1.28151524,1,0,0,0
30,30,8,45,0.2,0.1,30.462296687425056,1.53333333,44.88322286,1.35481212,1,0,0,0
30,30,8,90,0.2,0.1,30.462296687425056,1.53333333,45.01691194,1.28151524,1,0,0,0
30,30,8,135,0.2,0.1,30.462296687425056,1.53333333,44.88290069,1.35512522,1,0,0,0
30,30,8,180,0.2,0.1,30.462296687425056,1.53333333,45.01691194,1.28151524,1,0,0,0
30,30,8,225,0.2,0.1,30.462296687425056,1.53333333,44.88290069,1.35512522,1,0,0,0
30,30,8,270,0.2,0.1,30.462296687425056,1.53333333,45.01691194,1.28151524,1,0,0,0
30,30,8,315,0.2,0.1,30.462296687425056,1.53333333,44.88322286,1.35481212,1,0,0,0
30,30,8,0,0.3,0.1,30.462296687425056,1.53333333,45.92211024,1.06150951,1,0,0,0
30,30,8,45,0.3,0.1,30.462296687425056,1.53333333,45.77844813,1.13919511,1,0,0,0
30,30,8,90,0.3,0.1,30.462296687425056,1.53333333,45.92211024,1.06150951,1,0,0,0
30,30,8,135,0.3,0.1,30.462296687425056,1.53333333,45.77900159,1.13944687,1,0,0,0
30,30,8,180,0.3,0.1,30.462296687425056,1.53333333,45.92211024,1.06150951,1,0,0,0
30,30,8,225,0.3,0.1,30.462296687425056,1.53333333,45.77900159,1.13944687,1,0,0,0
30,30,8,270,0.3,0.1,30.462296687425056,1.53333333,45.92211024,1.06150951,1,0,0,0
30,30,8,315,0.3,0.1,30.462296687425056,1.53333333,45.77844813,1.13919511,1,0,0,0
30,30,8,0,0.4,0.1,30.462296687425056,1.53333333,46.58059145,0.88772172,1,0,0,0
30,30,8,45,0.4,0.1,30.462296687425056,1.53333333,46.43763125,0.96801961,1,0,0,0
30,30,8,90,0.4,0.1,30.462296687425056,1.53333333,46.58059145,0.88772172,1,0,0,0
30,30,8,135,0.4,0.1,30.462296687425056,1.53333333,46.43824115,0.96818006,1,0,0,0
30,30,8,180,0.4,0.1,30.462296687425056,1.53333333,46.58059145,0.88772172,1,0,0,0
30,30,8,225,0.4,0.1,30.462296687425056,1.53333333,46.43824115,0.96818006,1,0,0,0
30,30,8,270,0.4,0.1,30.462296687425056,1.53333333,46.58059145,0.88772172,1,0,0,0
30,30,8,315,0.4,0.1,30.462296687425056,1.53333333,46.43763125,0.96801961,1,0,0,0
30,30,8,0,0.1,0.2,30.462296687425056,1.53333333,44.67744057,1.52225134,1,0,0,0
30,30,8,45,0.1,0.2,30.462296687425056,1.53333333,44.54502282,1.59028446,1,0,0,0
30,30,8,90,0.1,0.2,30.462296687425056,1.53333333,44.67744057,1.52225134,1,0,0,0
30,30,8,135,0.1,0.2,30.462296687425056,1.53333333,44.55146115,1.58720478,1,0,0,0
30,30,8,180,0.1,0.2,30.462296687425056,1.53333333,44.67744057,1.52225134,1,0,0,0
30,30,8,225,0.1,0.2,30.462296687425056,1.53333333,44.54502282,1.59028446,1,0,0,0
30,30,8,270,0.1,0.2,30.462296687425056,1.53333333,44.67744057,1.52225134,1,0,0,0
30,30,8,315,0.1,0.2,30.462296687425056,1.53333333,44.55146115,1.58720478,1,0,0,0
30,30,8,0,0.2,0.2,30.462296687425056,1.53333333,45.88160956,1.25023095,1,0,0,0
30,30,8,45,0.2,0.2,30.462296687425056,1.53333333,45.74109652,1.32502901,1,0,0,0
30,30,8,90,0.2,0.2,30.462296687425056,1.53333333,45.88160956,1.25023095,1,0,0,0
30,30,8,135,0.2,0.2,30.462296687425056,1.53333333,45.74409978,1.32386847,1,0,0,0
30,30,8,180,0.2,0.2,30.462296687425056,1.53333333,45.88160956,1.25023095,1,0,0,0
30,30,8,225,0.2,0.2,30.462296687425056,1.53333333,45.74109652,1.32502901,1,0,0,0
30,30,8,270,0.2,0.2,30.462296687425056,1.53333333,45.88160956,1.25023095,1,0,0,0
30,30,8,315,0.2,0.2,30.462296687425056,1.53333333,45.74409978,1.32386847,1,0,0,0
30,30,8,0,0.3,0.2,30.462296687425056,1.53333333,46.75437215,1.03401291,1,0,0,0
30,30,8,45,0.3,0.2,30.462296687425056,1.53333333,46.60986865,1.11261065,1,0,0,0
30,30,8,90,0.3,0.2,30.462296687425056,1.53333333,46.75437215,1.03401291,1,0,0,0
30,30,8,135,0.3,0.2,30.462296687425056,1.53333333,46.61173744,1.11171903,1,0,0,0
30,30,8,180,0.3,0.2,30.462296687425056,1.53333333,46.75437215,1.03401291,1,0,0,0
30,30,8,225,0.3,0.2,30.462296687425056,1.53333333,46.60986865,1.11261065,1,0,0,0
30,30,8,270,0.3,0.2,30.462296687425056,1.53333333,46.75437215,1.03401291,1,0,0,0
30,30,8,315,0.3,0.2,30.462296687425056,1.53333333,46.61173744,1.11171903,1,0,0,0
30,30,8,0,0.4,0.2,30.462296687425056,1.53333333,47.39158435,0.86709215,1,0,0,0
30,30,8,45,0.4,0.2,30.462296687425056,1.53333333,47.25015318,0.94341556,1,0,0,0
30,30,8,90,0.4,0.2,30.462296687425056,1.53333333,47.39158435,0.86709215,1,0,0,0
30,30,8,135,0.4,0.2,30.462296687425056,1.53333333,47.25209422,0.94265347,1,0,0,0
30,30,8,180,0.4,0.2,30.462296687425056,1.53333333,47.39158435,0.86709215,1,0,0,0
30,30,8,225,0.4,0.2,30.462296687425056,1.53333333,47.25015318,0.94341556,1,0,0,0
30,30,8,270,0.4,0.2,30.462296687425056,1.53333333,47.39158435,0.86709215,1,0,0,0
30,30,8,315,0.4,0.2,30.462296687425056,1.53333333,47.25209422,0.94265347,1,0,0,0
30,30,8,0,0.1,0.3,30.462296687425056,1.53333333,44.82299024,1.49079611,1,0,0,0
30,30,8,45,0.1,0.3,30.462296687425056,1.53333333,44.68969107,1.55851848,1,0,0,0
30,30,8,90,0.1,0.3,30.462296687425056,1.53333333,44.82299024,1.49079611,1,0,0,0
30,30,8,135,0.1,0.3,30.462296687425056,1.53333333,44.70137887,1.55512009,1,0,0,0
30,30,8,180,0.1,0.3,30.462296687425056,1.53333333,44.82299024,1.49079611,1,0,0,0
30,30,8,225,0.1,0.3,30.462296687425056,1.53333333,44.70137887,1.55512009,1,0,0,0
30,30,8,270,0.1,0.3,30.462296687425056,1.53333333,44.82299024,1.49079611,1,0,0,0
30,30,8,315,0.1,0.3,30.462296687425056,1.53333333,44.70137887,1.55512009,1,0,0,0
30,30,8,0,0.2,0.3,30.462296687425056,1.53333333,45.99011313,1.22190647,1,0,0,0
30,30,8,45,0.2,0.3,30.462296687425056,1.53333333,45.84631616,1.29611412,1,0,0,0
30,30,8,90,0.2,0.3,30.462296687425056,1.53333333,45.99011313,1.22190647,1,0,0,0
30,30,8,135,0.2,0.3,30.462296687425056,1.53333333,45.85528653,1.29320804,1,0,0,0
30,30,8,180,0.2,0.3,30.462296687425056,1.53333333,45.99011313,1.22190647,1,0,0,0
30,30,8,225,0.2,0.3,30.462296687425056,1.53333333,45.85528653,1.29320804,1,0,0,0
30,30,8,270,0.2,0.3,30.462296687425056,1.53333333,45.99011313,1.22190647,1,0,0,0
30,30,8,315,0.2,0.3,30.462296687425056,1.53333333,45.85528653,1.29320804,1,0,0,0
30,30,8,0,0.3,0.3,30.462296687425056,1.53333333,46.83614511,1.00855186,1,0,0,0
30,30,8,45,0.3,0.3,30.462296687425056,1.53333333,46.69142078,1.08603534,1,0,0,0
30,30,8,90,0.3,0.3,30.462296687425056,1.53333333,46.83614511,1.00855186,1,0,0,0
30,30,8,135,0.3,0.3,30.462296687425056,1.53333333,46.69707343,1.08358096,1,0,0,0
30,30,8,180,0.3,0.3,30.462296687425056,1.53333333,46.83614511,1.00855186,1,0,0,0
30,30,8,225,0.3,0.3,30.462296687425056,1.53333333,46.69707343,1.08358096,1,0,0,0
30,30,8,270,0.3,0.3,30.462296687425056,1.53333333,46.83614511,1.00855186,1,0,0,0
30,30,8,315,0.3,0.3,30.462296687425056,1.53333333,46.69707343,1.08358096,1,0,0,0
30,30,8,0,0.4,0.3,30.462296687425056,1.53333333,47.45415738,0.8460012,1,0,0,0
30,30,8,45,0.4,0.3,30.462296687425056,1.53333333,47.31140241,0.92171914,1,0,0,0
30,30,8,90,0.4,0.3,30.462296687425056,1.53333333,47.45415738,0.8460012,1,0,0,0
30,30,8,135,0.4,0.3,30.462296687425056,1.53333333,47.31735101,0.91968239,1,0,0,0
30,30,8,180,0.4,0.3,30.462296687425056,1.53333333,47.45415738,0.8460012,1,0,0,0
30,30,8,225,0.4,0.3,30.462296687425056,1.53333333,47.31735101,0.91968239,1,0,0,0
30,30,8,270,0.4,0.3,30.462296687425056,1.53333333,47.45415738,0.8460012,1,0,0,0
30,30,8,315,0.4,0.3,30.462296687425056,1.53333333,47.31735101,0.91968239,1,0,0,0
30,30,8,0,0.1,0.4,30.462296687425056,1.53333333,44.9454017,1.46050572,1,0,0,0
30,30,8,45,0.1,0.4,30.462296687425056,1.53333333,44.80039467,1.53162986,1,0,0,0
30,30,8,90,0.1,0.4,30.462296687425056,1.53333333,44.9454017,1.46050572,1,0,0,0
30,30,8,135,0.1,0.4,30.462296687425056,1.53333333,44.80039467,1.53162986,1,0,0,0
30,30,8,180,0.1,0.4,30.462296687425056,1.53333333,44.9454017,1.46050572,1,0,0,0
30,30,8,225,0.1,0.4,30.462296687425056,1.53333333,44.82284706,1.52523828,1,0,0,0
30,30,8,270,0.1,0.4,30.462296687425056,1.53333333,44.9454017,1.46050572,1,0,0,0
30,30,8,315,0.1,0.4,30.462296687425056,1.53333333,44.82284706,1.52523828,1,0,0,0
30,30,8,0,0.2,0.4,30.462296687425056,1.53333333,46.07370722,1.19524097,1,0,0,0
30,30,8,45,0.2,0.4,30.462296687425056,1.53333333,45.92765592,1.27211045,1,0,0,0
30,30,8,90,0.2,0.4,30.462296687425056,1.53333333,46.07370722,1.19524097,1,0,0,0
30,30,8,135,0.2,0.4,30.462296687425056,1.53333333,45.92765592,1.27211045,1,0,0,0
30,30,8,180,0.2,0.4,30.462296687425056,1.53333333,46.07370722,1.19524097,1,0,0,0
30,30,8,225,0.2,0.4,30.462296687425056,1.53333333,45.94395446,1.26578219,1,0,0,0
30,30,8,270,0.2,0.4,30.462296687425056,1.53333333,46.07370722,1.19524097,1,0,0,0
30,30,8,315,0.2,0.4,30.462296687425056,1.53333333,45.94395446,1.26578219,1,0,0,0
30,30,8,0,0.3,0.4,30.462296687425056,1.53333333,46.90226545,0.98587532,1,0,0,0
30,30,8,45,0.3,0.4,30.462296687425056,1.53333333,46.75208375,1.06566593,1,0,0,0
30,30,8,90,0.3,0.4,30.462296687425056,1.53333333,46.90226545,0.98587532,1,0,0,0
30,30,8,135,0.3,0.4,30.462296687425056,1.53333333,46.75208375,1.06566593,1,0,0,0
30,30,8,180,0.3,0.4,30.462296687425056,1.53333333,46.90226545,0.98587532,1,0,0,0
30,30,8,225,0.3,0.4,30.462296687425056,1.53333333,46.76556853,1.06088503,1,0,0,0
30,30,8,270,0.3,0.4,30.462296687425056,1.53333333,46.90226545,0.98587532,1,0,0,0
30,30,8,315,0.3,0.4,30.462296687425056,1.53333333,46.76556853,1.06088503,1,0,0,0
30,30,8,0,0.4,0.4,30.462296687425056,1.53333333,47.5049858,0.82828025,1,0,0,0
30,30,8,45,0.4,0.4,30.462296687425056,1.53333333,47.35911711,0.90445514,1,0,0,0
30,30,8,90,0.4,0.4,30.462296687425056,1.53333333,47.5049858,0.82828025,1,0,0,0
30,30,8,135,0.4,0.4,30.462296687425056,1.53333333,47.35911711,0.90445514,1,0,0,0
30,30,8,180,0.4,0.4,30.462296687425056,1.53333333,47.5049858,0.82828025,1,0,0,0
30,30,8,225,0.4,0.4,30.462296687425056,1.53333333,47.37007462,0.90029762,1,0,0,0
30,30,8,270,0.4,0.4,30.462296687425056,1.53333333,47.5049858,0.82828025,1,0,0,0
30,30,8,315,0.4,0.4,30.462296687425056,1.53333333,47.37007462,0.90029762,1,0,0,0
40,30,8,0,0.1,0.1,39.172712085197105,1.46666667,43.76483531,1.5139349,1,0,0,0
30,40,8,0,0.1,0.1,39.172712085197105,1.46666667,43.76236292,1.54414,1,0,0,0
40,30,8,45,0.1,0.1,39.172712085197105,1.46666667,43.6433463,1.59152446,1,0,0,0
30,40,8,45,0.1,0.1,39.172712085197105,1.46666667,42.312644635,0.2937013625000001,1,0,0,0
40,30,8,90,0.1,0.1,39.172712085197105,1.46666667,43.76241566,1.5434204,1,0,0,0
30,40,8,90,0.1,0.1,39.172712085197105,1.46666667,43.76442828,1.5139523,1,0,0,0
40,30,8,135,0.1,0.1,39.172712085197105,1.46666667,43.64474568,1.58832128,1,0,0,0
30,40,8,135,0.1,0.1,39.172712085197105,1.46666667,43.64762287,1.59088033,1,0,0,0
40,30,8,180,0.1,0.1,39.172712085197105,1.46666667,43.76483531,1.5139349,1,0,0,0
30,40,8,180,0.1,0.1,39.172712085197105,1.46666667,43.76236292,1.54414,1,0,0,0
40,30,8,225,0.1,0.1,39.172712085197105,1.46666667,43.64836613,1.59052736,1,0,0,0
30,40,8,225,0.1,0.1,39.172712085197105,1.46666667,43.64573126,1.58791459,1,0,0,0
40,30,8,270,0.1,0.1,39.172712085197105,1.46666667,43.76241566,1.5434204,1,0,0,0
30,40,8,270,0.1,0.1,39.172712085197105,1.46666667,43.76442828,1.5139523,1,0,0,0
40,30,8,315,0.1,0.1,39.172712085197105,1.46666667,43.64559094,1.58517216,1,0,0,0
30,40,8,315,0.1,0.1,39.172712085197105,1.46666667,43.64581239,1.59171007,1,0,0,0
40,30,8,0,0.2,0.1,39.172712085197105,1.46666667,44.9180761,1.25445998,1,0,0,0
30,40,8,0,0.2,0.1,39.172712085197105,1.46666667,44.90515606,1.29166683,1,0,0,0
40,30,8,45,0.2,0.1,39.172712085197105,1.46666667,44.78564652,1.34214189,1,0,0,0
30,40,8,45,0.2,0.1,39.172712085197105,1.46666667,44.78270193,1.33773625,1,0,0,0
40,30,8,90,0.2,0.1,39.172712085197105,1.46666667,44.90533077,1.29095456,1,0,0,0
30,40,8,90,0.2,0.1,39.172712085197105,1.46666667,44.91762852,1.25445259,1,0,0,0
40,30,8,135,0.2,0.1,39.172712085197105,1.46666667,44.78143772,1.33800829,1,0,0,0
30,40,8,135,0.2,0.1,39.172712085197105,1.46666667,44.78844411,1.34124729,1,0,0,0
40,30,8,180,0.2,0.1,39.172712085197105,1.46666667,44.9180761,1.25445998,1,0,0,0
30,40,8,180,0.2,0.1,39.172712085197105,1.46666667,44.90515606,1.29166683,1,0,0,0
40,30,8,225,0.2,0.1,39.172712085197105,1.46666667,44.78996439,1.34137213,1,0,0,0
